application_number	drug_name_brand	drug_name_generic	url	indication	raw_biomarkers	involves_categorical_variants	categorical_variants
208716	Verzenio	abemaciclib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf	"Verzenio is a kinase inhibitor indicated in combination with endocrine therapy (tamoxifen or an aromatase inhibitor) for the adjuvant treatment of adult patients with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, node positive, early breast cancer at high risk of recurrence."	"HR+, HER2-negative"	FALSE	
208716	Verzenio	abemaciclib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf	"Verzenio is a kinase inhibitor indicated in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of adult patients with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer."	"HR+, HER2-negative"	FALSE	
208716	Verzenio	abemaciclib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf	"Verzenio is a kinase inhibitor indicated in combination with fulvestrant for the treatment of adult patients with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy."	"HR+, HER2-negative"	FALSE	
208716	Verzenio	abemaciclib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf	"Verzenio is a kinase inhibitor indicated as monotherapy for the treatment of adult patients with HR-positive, HER2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting."	"HR+, HER2-negative"	FALSE	
216793	Akeega	abiraterone acetate and niraparib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216793s000lbl.pdf	"AKEEGA is a combination of niraparib, a poly (ADP-ribose) polymerase (PARP) inhibitor, and abiraterone acetate, a CYP17 inhibitor indicated with prednisone for the treatment of adult patients with deleterious or suspected deleterious BRCA-mutated (BRCAm) metastatic castration-resistant prostate cancer (mCRPC). Select patients for therapy based on an FDA-approved test for AKEEGA."	deleterious or suspected deleterious BRCA-mutated (BRCAm)	TRUE	(suspected) deleterious BRCA1 variants; (suspected) deleterious BRCA2 variants
216340	Krazati	adagrasib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/216340Orig1s000Corrected_lbl.pdf	"KRAZATI is an inhibitor of the RAS GTPase family indicated for the treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC), as determined by an FDA approved test, who have received at least one prior systemic therapy. This indication is approved under accelerated approval based on objective response rate (ORR) and duration of response (DOR). Continued approval for this indication may be contingent upon verification and description of a clinical benefit in a confirmatory trial(s)."	KRAS G12C	FALSE	
125427	Kadcyla	ado-trastuzumab emtansine	https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125427s111lbl.pdf	"KADCYLA is a HER2-targeted antibody and microtubule inhibitor conjugate indicated, as a single agent, for the treatment of patients with HER2-positive, metastatic breast cancer who previously received trastuzumab and a taxane, separately or in combination. Patients should have either: received prior therapy for metastatic disease; or developed disease recurrence during or within six months of completing adjuvant therapy. Select patients for therapy based on an FDA-approved companion diagnostic for KADCYLA."	HER2-positive	FALSE	
125427	Kadcyla	ado-trastuzumab emtansine	https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125427s111lbl.pdf	"KADCYLA is a HER2-targeted antibody and microtubule inhibitor conjugate indicated, as a single agent, for the adjuvant treatment of patients with HER2-positive early breast cancer who have residual invasive disease after neoadjuvant taxane and trastuzumab-based treatment. Select patients for therapy based on an FDA-approved companion diagnostic for KADCYLA."	HER2-positive	FALSE	
201292	Gilotrif	afatinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/201292s017lbl.pdf	GILOTRIF is a kinase inhibitor indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test (1.1) Limitations of Use: Safety and efficacy of GILOTRIF were not established in patients whose tumors have resistant EGFR mutations.	non-resistant EGFR mutations	TRUE	non-resistant EGFR variants
208434	Alecensa	alectinib	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/208434s015lbl.pdf	ALECENSA is a kinase inhibitor indicated for the adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC) (tumors >= 4 cm or node positive) as detected by an FDA-approved test.	ALK-positive	TRUE	v::ALK
